,bef,aft,id_OTU
uniq3930,OTU_bef1,OTU_aft1,True
uniq3931,OTU_bef1,OTU_aft1,True
uniq3932,OTU_bef8,OTU_aft8,True
uniq3933,OTU_bef175,OTU_aft145,True
uniq3934,OTU_bef2,OTU_aft2,True
uniq3935,OTU_bef2068,,False
uniq3936,OTU_bef36,,False
uniq3937,OTU_bef1381,OTU_aft8,False
uniq3938,OTU_bef30,OTU_aft30,True
uniq3939,OTU_bef11,OTU_aft11,True
uniq394,OTU_bef1,OTU_aft1,True
uniq3940,OTU_bef54,OTU_aft52,True
uniq3941,OTU_bef8,OTU_aft8,True
uniq3942,OTU_bef32,OTU_aft32,True
uniq3943,OTU_bef10,OTU_aft10,True
uniq3944,OTU_bef12,OTU_aft12,True
uniq3945,OTU_bef8,OTU_aft8,True
uniq3946,OTU_bef59,OTU_aft57,True
uniq3947,OTU_bef1,OTU_aft1,True
uniq3948,OTU_bef1,OTU_aft1,True
uniq3949,OTU_bef12,OTU_aft12,True
uniq395,OTU_bef1,OTU_aft1,True
uniq3950,OTU_bef41,OTU_aft39,True
uniq3951,OTU_bef9,OTU_aft9,True
uniq3952,OTU_bef64,OTU_aft61,True
uniq3953,OTU_bef8,OTU_aft8,True
uniq3954,OTU_bef558,,False
uniq3955,OTU_bef3,OTU_aft3,True
uniq3956,OTU_bef6,OTU_aft6,True
uniq3957,OTU_bef12,OTU_aft12,True
uniq3958,OTU_bef215,OTU_aft164,True
uniq3959,OTU_bef8,OTU_aft8,True
uniq396,OTU_bef1,OTU_aft1,True
uniq3960,OTU_bef46,OTU_aft44,True
uniq3961,OTU_bef35,,False
uniq3962,OTU_bef8,OTU_aft8,True
uniq3963,OTU_bef2,OTU_aft2,True
uniq3964,OTU_bef1,OTU_aft1,True
uniq3965,OTU_bef11,OTU_aft11,True
uniq3966,OTU_bef30,OTU_aft30,True
uniq3967,OTU_bef8,OTU_aft8,True
uniq3968,OTU_bef110,OTU_aft99,True
uniq3969,OTU_bef9,OTU_aft9,True
uniq397,OTU_bef196,OTU_aft154,True
uniq3970,OTU_bef559,,False
uniq3971,OTU_bef6,OTU_aft6,True
uniq3972,OTU_bef988,OTU_aft52,False
uniq3973,OTU_bef33,OTU_aft33,True
uniq3974,OTU_bef3,OTU_aft3,True
uniq3975,OTU_bef119,OTU_aft107,True
uniq3976,OTU_bef2,OTU_aft2,True
uniq3977,OTU_bef560,,False
uniq3978,OTU_bef8,OTU_aft8,True
uniq3979,OTU_bef31,OTU_aft31,True
uniq398,OTU_bef1,OTU_aft1,True
uniq3980,OTU_bef1,OTU_aft1,True
uniq3981,OTU_bef10,OTU_aft10,True
uniq3982,OTU_bef1,OTU_aft1,True
uniq3983,OTU_bef561,,False
uniq3984,OTU_bef12,OTU_aft12,True
uniq3985,OTU_bef562,,False
uniq3986,OTU_bef8,OTU_aft8,True
uniq3987,OTU_bef248,,False
uniq3988,OTU_bef1,OTU_aft1,True
uniq3989,OTU_bef6,OTU_aft6,True
uniq399,OTU_bef197,OTU_aft155,True
uniq3990,OTU_bef10,OTU_aft10,True
uniq3991,OTU_bef32,OTU_aft32,True
uniq3992,OTU_bef563,,False
uniq3993,OTU_bef2,OTU_aft2,True
uniq3994,OTU_bef2014,,False
uniq3995,OTU_bef2,OTU_aft2,True
uniq3996,OTU_bef154,OTU_aft129,True
uniq3997,OTU_bef35,,False
uniq3998,OTU_bef30,OTU_aft30,True
uniq3999,OTU_bef10,OTU_aft10,True
uniq4,OTU_bef4,OTU_aft4,True
uniq40,OTU_bef36,,False
uniq400,OTU_bef198,,False
uniq4000,OTU_bef60,OTU_aft58,True
uniq4001,OTU_bef8,OTU_aft8,True
uniq4002,OTU_bef11,OTU_aft11,True
uniq4003,OTU_bef6,OTU_aft6,True
uniq4004,OTU_bef61,OTU_aft59,True
uniq4005,OTU_bef3,OTU_aft3,True
uniq4006,OTU_bef51,OTU_aft49,True
uniq4007,OTU_bef12,OTU_aft12,True
uniq4008,OTU_bef106,,False
uniq4009,OTU_bef433,,False
uniq401,OTU_bef1,OTU_aft1,True
uniq4010,OTU_bef11,OTU_aft11,True
uniq4011,OTU_bef12,OTU_aft12,True
uniq4012,OTU_bef3,OTU_aft3,True
uniq4013,OTU_bef3,OTU_aft3,True
uniq4014,OTU_bef2,OTU_aft2,True
uniq4015,OTU_bef538,,False
uniq4016,OTU_bef564,,False
uniq4017,OTU_bef11,OTU_aft11,True
uniq4018,OTU_bef64,OTU_aft61,True
uniq4019,OTU_bef136,,False
uniq402,OTU_bef1,OTU_aft1,True
uniq4020,OTU_bef37,OTU_aft35,True
uniq4021,OTU_bef23,OTU_aft23,True
uniq4022,OTU_bef6,OTU_aft6,True
uniq4023,OTU_bef34,OTU_aft34,True
uniq4024,OTU_bef1381,OTU_aft8,False
uniq4025,OTU_bef8,OTU_aft8,True
uniq4026,OTU_bef30,OTU_aft30,True
uniq4027,OTU_bef2591,OTU_aft56,False
uniq4028,OTU_bef12,OTU_aft12,True
uniq4029,OTU_bef3,OTU_aft3,True
uniq403,OTU_bef1,OTU_aft1,True
uniq4030,OTU_bef33,OTU_aft33,True
uniq4031,OTU_bef36,,False
uniq4032,OTU_bef11,OTU_aft11,True
uniq4033,OTU_bef42,OTU_aft40,True
uniq4034,OTU_bef40,OTU_aft38,True
uniq4035,OTU_bef47,OTU_aft45,True
uniq4036,OTU_bef17,OTU_aft17,True
uniq4037,OTU_bef37,OTU_aft35,True
uniq4038,OTU_bef10,OTU_aft10,True
uniq4039,OTU_bef8,OTU_aft8,True
uniq404,OTU_bef1,OTU_aft1,True
uniq4040,OTU_bef2,OTU_aft2,True
uniq4041,OTU_bef2,OTU_aft2,True
uniq4042,OTU_bef6,OTU_aft6,True
uniq4043,OTU_bef41,OTU_aft39,True
uniq4044,OTU_bef10,OTU_aft10,True
uniq4045,OTU_bef34,OTU_aft34,True
uniq4046,OTU_bef12,OTU_aft12,True
uniq4047,OTU_bef15,OTU_aft15,True
uniq4048,OTU_bef593,OTU_aft42,False
uniq4049,OTU_bef14,OTU_aft14,True
uniq405,OTU_bef2252,OTU_aft6,False
uniq4050,OTU_bef5,OTU_aft5,True
uniq4051,OTU_bef5,OTU_aft5,True
uniq4052,OTU_bef55,OTU_aft53,True
uniq4053,OTU_bef751,OTU_aft53,False
uniq4054,OTU_bef55,OTU_aft53,True
uniq4055,OTU_bef19,OTU_aft19,True
uniq4056,OTU_bef21,OTU_aft21,True
uniq4057,OTU_bef22,OTU_aft22,True
uniq4058,OTU_bef219,,False
uniq4059,OTU_bef240,OTU_aft180,True
uniq406,OTU_bef1,OTU_aft1,True
uniq4060,OTU_bef2654,,False
uniq4061,OTU_bef55,OTU_aft53,True
uniq4062,OTU_bef44,OTU_aft42,True
uniq4063,OTU_bef79,,False
uniq4064,OTU_bef13,OTU_aft13,True
uniq4065,OTU_bef69,OTU_aft66,True
uniq4066,OTU_bef123,OTU_aft109,True
uniq4067,OTU_bef45,OTU_aft43,True
uniq4068,OTU_bef55,OTU_aft53,True
uniq4069,OTU_bef16,OTU_aft16,True
uniq407,OTU_bef199,,False
uniq4070,OTU_bef39,OTU_aft37,True
uniq4071,OTU_bef734,OTU_aft53,False
uniq4072,OTU_bef16,OTU_aft16,True
uniq4073,OTU_bef55,OTU_aft53,True
uniq4074,OTU_bef25,OTU_aft25,True
uniq4075,OTU_bef15,OTU_aft15,True
uniq4076,OTU_bef19,OTU_aft19,True
uniq4077,OTU_bef55,OTU_aft53,True
uniq4078,OTU_bef49,OTU_aft47,True
uniq4079,OTU_bef2655,,False
uniq408,OTU_bef1,OTU_aft1,True
uniq4080,OTU_bef2656,,False
uniq4081,OTU_bef15,OTU_aft15,True
uniq4082,OTU_bef15,OTU_aft15,True
uniq4083,OTU_bef321,,False
uniq4084,OTU_bef71,OTU_aft68,True
uniq4085,OTU_bef45,OTU_aft43,True
uniq4086,OTU_bef125,,False
uniq4087,OTU_bef5,OTU_aft5,True
uniq4088,OTU_bef88,OTU_aft81,True
uniq4089,OTU_bef55,OTU_aft53,True
uniq409,OTU_bef200,OTU_aft156,True
uniq4090,OTU_bef55,OTU_aft53,True
uniq4091,OTU_bef188,OTU_aft150,True
uniq4092,OTU_bef718,,False
uniq4093,OTU_bef725,OTU_aft26,False
uniq4094,OTU_bef76,,False
uniq4095,OTU_bef19,OTU_aft19,True
uniq4096,OTU_bef188,OTU_aft150,True
uniq4097,OTU_bef22,OTU_aft22,True
uniq4098,OTU_bef55,OTU_aft53,True
uniq4099,OTU_bef222,OTU_aft168,True
uniq41,OTU_bef37,OTU_aft35,True
uniq410,OTU_bef20,OTU_aft20,True
uniq4100,OTU_bef751,OTU_aft53,False
uniq4101,OTU_bef54,OTU_aft52,True
uniq4102,OTU_bef72,OTU_aft69,True
uniq4103,OTU_bef14,OTU_aft14,True
uniq4104,OTU_bef397,,False
uniq4105,OTU_bef19,OTU_aft19,True
uniq4106,OTU_bef16,OTU_aft16,True
uniq4107,OTU_bef80,OTU_aft75,True
uniq4108,OTU_bef88,OTU_aft81,True
uniq4109,OTU_bef4,OTU_aft4,True
uniq411,OTU_bef1,OTU_aft1,True
uniq4110,OTU_bef329,,False
uniq4111,OTU_bef18,OTU_aft18,True
uniq4112,OTU_bef76,,False
uniq4113,OTU_bef76,,False
uniq4114,OTU_bef38,OTU_aft36,True
uniq4115,OTU_bef7,OTU_aft7,True
uniq4116,OTU_bef48,OTU_aft46,True
uniq4117,OTU_bef107,,False
uniq4118,OTU_bef16,OTU_aft16,True
uniq4119,OTU_bef7,OTU_aft7,True
uniq412,OTU_bef183,OTU_aft148,True
uniq4120,OTU_bef44,OTU_aft42,True
uniq4121,OTU_bef2657,,False
uniq4122,OTU_bef21,OTU_aft21,True
uniq4123,OTU_bef25,OTU_aft25,True
uniq4124,OTU_bef7,OTU_aft7,True
uniq4125,OTU_bef21,OTU_aft21,True
uniq4126,OTU_bef2,OTU_aft2,True
uniq4127,OTU_bef131,OTU_aft114,True
uniq4128,OTU_bef15,OTU_aft15,True
uniq4129,OTU_bef2,OTU_aft2,True
uniq413,OTU_bef37,OTU_aft35,True
uniq4130,OTU_bef69,OTU_aft66,True
uniq4131,OTU_bef55,OTU_aft53,True
uniq4132,OTU_bef79,,False
uniq4133,OTU_bef26,OTU_aft26,True
uniq4134,OTU_bef573,,False
uniq4135,OTU_bef44,OTU_aft42,True
uniq4136,OTU_bef55,OTU_aft53,True
uniq4137,OTU_bef25,OTU_aft25,True
uniq4138,OTU_bef2692,OTU_aft168,False
uniq4139,OTU_bef21,OTU_aft21,True
uniq414,OTU_bef53,OTU_aft51,True
