,reads,uniqs,uniqs_in_bef_OTU,bef_OTU,uniqs_in_aft_OTU,aft_OTU,Got_a_OTU,Got_both,Got_nor,master_OTU
RNBC1_QLMSP7_tag06_F5,16,3,3,3,2,2,3,2,0,3
RNBC1_QLMSP7_tag06_F1,1,1,1,1,1,1,1,1,0,1
RNBC1_QLMSP7_tag06_F6,5,2,2,1,2,1,2,2,0,1
RNBC1_QLMSP7_tag06_F7,5,3,3,1,3,1,3,3,0,1
RNBC1_QLMSP7_tag06_G10,8,6,6,2,6,2,6,6,0,2
RNBC1_QLMSP7_tag06_E3,1,1,1,1,1,1,1,1,0,1
RNBC1_QLMSP7_tag06_G11,20,6,6,1,6,1,6,6,0,1
RNBC1_QLMSP7_tag06_G1,3,3,3,1,3,1,3,3,0,1
RNBC1_QLMSP7_tag06_G12,2,2,2,2,2,2,2,2,0,3
RNBC1_QLMSP7_tag06_G2,1,1,1,1,1,1,1,1,0,1
RNBC1_QLMSP7_tag06_G5,1,1,1,1,1,1,1,1,0,1
RNBC1_QLMSP7_tag06_G6,10,6,6,3,6,3,6,6,0,3
RNBC1_QLMSP7_tag06_H10,3,2,2,1,2,1,2,2,0,1
RNBC1_QLMSP7_tag06_H11,78,41,41,14,38,11,41,38,0,14
RNBC1_QLMSP7_tag06_H12,4,3,3,1,3,1,3,3,0,1
RNBC1_QLMSP7_tag06_H6,3,2,2,1,2,1,2,2,0,1
RNMB1_FXBSP1_tag08_A3,11774,2542,2542,271,2335,120,2542,2335,0,275
RNBC1_QLMSP7_tag06_H7,2,2,2,1,2,1,2,2,0,1
RNMB1_FXBSP1_tag08_B8,16754,2587,2587,233,2425,105,2587,2425,0,233
RNMB1_FXBSP1_tag08_E2,5459,1660,1660,157,1579,87,1660,1579,0,159
RNMB1_FXBSP1_tag08_E3,34770,5400,5400,270,5208,124,5400,5208,0,272
RNMB1_FXBSP1_tag08_F2,23341,3383,3383,164,3316,106,3383,3316,0,166
RNMB1_FXBSP1_tag08_F4,19940,3530,3530,205,3415,114,3530,3415,0,207
RNMB1_FXBSP2_tag18_A10,6460,769,769,63,740,39,769,740,0,64
