,reads,uniqs,uniqs_in_bef_OTU,bef_OTU,uniqs_in_aft_OTU,aft_OTU,Got_a_OTU,Got_both,Got_nor,master_OTU
RNBC1_QLMSP7_tag06_C5,3,1,1,1,0,0,1,0,0,1
RNBC1_QLMSP7_tag06_C6,468,97,97,22,5,5,97,5,0,22
RNBC1_QLMSP7_tag06_C7,912,236,236,11,18,6,236,18,0,11
RNBC1_QLMSP7_tag06_D11,8,6,6,3,2,2,6,2,0,3
RNBC1_QLMSP7_tag06_D12,10,4,4,1,1,1,4,1,0,1
RNBC1_QLMSP7_tag06_D1,5,1,1,1,0,0,1,0,0,1
RNBC1_QLMSP7_tag06_D4,1,1,1,1,1,1,1,1,0,1
RNBC1_QLMSP7_tag06_D5,3,3,3,3,2,2,3,2,0,3
RNBC1_QLMSP7_tag06_D6,5,4,4,1,1,1,4,1,0,1
RNBC1_QLMSP7_tag06_D7,298,35,35,7,2,2,35,2,0,7
RNBC1_QLMSP7_tag06_E10,3,2,2,2,2,2,2,2,0,2
RNBC1_QLMSP7_tag06_E11,4,3,3,1,0,0,3,0,0,1
RNBC1_QLMSP7_tag06_E12,12,9,9,1,1,1,9,1,0,1
RNBC1_QLMSP7_tag06_E1,2,2,2,2,0,0,2,0,0,2
RNBC1_QLMSP7_tag06_E2,5,3,3,3,1,1,3,1,0,3
RNBC1_QLMSP7_tag06_E4,2,2,2,1,2,1,2,2,0,1
RNBC1_QLMSP7_tag06_E6,4,3,3,1,1,1,3,1,0,1
RNBC1_QLMSP7_tag06_E7,5,4,4,1,1,1,4,1,0,1
RNBC1_QLMSP7_tag06_E8,2,1,1,1,0,0,1,0,0,1
RNBC1_QLMSP7_tag06_E9,2,2,2,2,1,1,2,1,0,2
RNBC1_QLMSP7_tag06_F10,1,1,1,1,0,0,1,0,0,1
RNBC1_QLMSP7_tag06_F11,4,2,2,1,1,1,2,1,0,1
RNBC1_QLMSP7_tag06_F12,6,3,3,1,1,1,3,1,0,1
RNBC1_QLMSP7_tag06_F5,16,3,3,3,2,2,3,2,0,3
RNBC1_QLMSP7_tag06_F1,1,1,1,1,0,0,1,0,0,1
RNBC1_QLMSP7_tag06_F6,5,2,2,1,1,1,2,1,0,1
RNBC1_QLMSP7_tag06_F7,5,3,3,1,1,1,3,1,0,1
RNBC1_QLMSP7_tag06_G10,8,6,6,2,3,2,6,3,0,2
RNBC1_QLMSP7_tag06_E3,1,1,1,1,1,1,1,1,0,1
RNBC1_QLMSP7_tag06_G11,20,6,6,1,1,1,6,1,0,1
RNBC1_QLMSP7_tag06_G1,3,3,3,1,1,1,3,1,0,1
RNBC1_QLMSP7_tag06_G12,2,2,2,2,1,1,2,1,0,2
RNBC1_QLMSP7_tag06_G2,1,1,1,1,0,0,1,0,0,1
RNBC1_QLMSP7_tag06_G5,1,1,1,1,0,0,1,0,0,1
RNBC1_QLMSP7_tag06_G6,10,6,6,3,3,1,6,3,0,3
RNBC1_QLMSP7_tag06_H10,3,2,2,1,1,1,2,1,0,1
RNBC1_QLMSP7_tag06_H11,78,41,41,14,0,0,41,0,0,14
RNBC1_QLMSP7_tag06_H12,4,3,3,1,1,1,3,1,0,1
RNBC1_QLMSP7_tag06_H6,3,2,2,1,1,1,2,1,0,1
RNMB1_FXBSP1_tag08_A3,11774,2542,2542,271,49,34,2542,49,0,272
RNBC1_QLMSP7_tag06_H7,2,2,2,1,1,1,2,1,0,1
RNMB1_FXBSP1_tag08_B8,16754,2587,2587,233,59,36,2587,59,0,233
RNMB1_FXBSP1_tag08_E2,5459,1660,1660,157,44,27,1660,44,0,157
RNMB1_FXBSP1_tag08_E3,34770,5400,5400,270,76,40,5400,76,0,270
RNMB1_FXBSP1_tag08_F2,23341,3383,3383,164,40,27,3383,40,0,165
RNMB1_FXBSP1_tag08_F4,19940,3530,3530,205,41,29,3530,41,0,205
RNMB1_FXBSP2_tag18_A10,6460,769,769,63,71,31,769,71,0,64
RNMB1_FXBSP2_tag18_A11,247,43,43,7,2,2,43,2,0,7
RNMB1_FXBSP2_tag18_A1,7075,1361,1361,97,40,22,1361,40,0,97
RNMB1_FXBSP2_tag18_A2,3667,778,778,44,24,19,778,24,0,45
RNMB1_FXBSP2_tag18_A3,5622,953,953,73,48,31,953,48,0,73
RNMB1_FXBSP2_tag18_A5,6316,1186,1186,89,35,23,1186,35,0,90
RNMB1_FXBSP2_tag18_A7,2388,463,463,47,32,20,463,32,0,48
RNMB1_FXBSP2_tag18_A8,488,112,112,36,19,17,112,19,0,37
RNMB1_FXBSP2_tag18_B3,2346,511,511,59,20,20,511,20,0,60
RNMB1_FXBSP2_tag18_B4,2640,619,619,70,53,28,619,53,0,71
RNMB1_FXBSP2_tag18_B5,4070,685,685,63,34,27,685,34,0,65
RNMB1_FXBSP2_tag18_B6,6435,1126,1126,74,68,39,1126,68,0,74
RNMB1_FXBSP2_tag18_B8,3769,633,633,92,52,30,633,52,0,93
RNMB1_FXBSP2_tag18_C10,10785,1764,1764,46,33,14,1764,33,0,47
RNMB1_FXBSP2_tag18_C12,7829,2139,2139,76,42,19,2139,42,0,77
RNMB1_FXBSP2_tag18_C2,3996,987,987,60,27,15,987,27,0,60
RNMB1_FXBSP2_tag18_C4,4081,700,700,63,41,19,700,41,0,64
RNMB1_FXBSP2_tag18_C5,1741,352,352,51,38,17,352,38,0,51
RNMB1_FXBSP2_tag18_C8,1907,524,524,48,30,22,524,30,0,48
RNMB1_FXBSP2_tag18_D11,9624,2166,2166,58,46,24,2166,46,0,59
RNMB1_FXBSP2_tag18_D12,5813,1378,1378,55,36,16,1378,36,0,55
RNMB1_FXBSP2_tag18_D2,2849,659,659,52,30,20,659,30,0,53
RNMB1_FXBSP2_tag18_D5,3111,540,540,56,34,24,540,34,0,56
RNMB1_FXBSP2_tag18_D6,2,2,2,2,0,0,2,0,0,2
RNMB1_FXBSP2_tag18_D8,8681,1390,1390,51,43,20,1390,43,0,52
RNMB1_FXBSP2_tag18_E10,7389,1400,1400,45,52,17,1400,52,0,47
RNMB1_FXBSP2_tag18_E11,9006,1729,1729,45,29,16,1729,29,0,45
RNMB1_FXBSP2_tag18_E12,6475,1462,1462,35,30,17,1462,30,0,36
RNMB1_FXBSP2_tag18_E2,3460,766,766,70,33,25,766,33,0,71
RNMB1_FXBSP2_tag18_E3,3475,688,688,86,32,24,688,32,0,86
RNMB1_FXBSP2_tag18_E4,2984,444,444,33,19,16,444,19,0,34
RNMB1_FXBSP2_tag18_E5,1374,280,280,56,30,28,280,30,0,56
RNMB1_FXBSP2_tag18_E7,4956,918,918,77,63,28,918,63,0,80
RNMB1_FXBSP2_tag18_E8,5885,1307,1307,59,43,24,1307,43,0,60
RNMB1_FXBSP2_tag18_F11,7199,1772,1772,47,26,17,1772,26,0,47
RNMB1_FXBSP2_tag18_F12,3437,896,896,37,32,18,896,32,0,37
RNMB1_FXBSP2_tag18_F1,7818,1096,1096,60,36,23,1096,36,0,60
RNMB1_FXBSP2_tag18_F2,3214,648,648,59,22,19,648,22,0,59
RNMB1_FXBSP2_tag18_F3,7196,1078,1078,34,18,14,1078,18,0,34
RNMB1_FXBSP2_tag18_F5,3660,847,847,92,48,40,847,48,0,93
RNMB1_FXBSP2_tag18_F6,4813,949,949,98,75,42,949,75,0,99
RNMB1_FXBSP2_tag18_F8,4876,1158,1158,60,51,31,1158,51,0,61
RNMB1_FXBSP2_tag18_F9,4380,624,624,48,32,16,624,32,0,48
RNMB1_FXBSP2_tag18_G11,9569,1973,1973,49,42,19,1973,42,0,50
RNMB1_FXBSP2_tag18_G12,10279,2349,2349,113,44,22,2349,44,0,113
RNMB1_FXBSP2_tag18_G4,4355,649,649,76,21,21,649,21,0,76
RNMB1_FXBSP2_tag18_G6,6025,1274,1274,82,73,36,1274,73,0,83
RNMB1_FXBSP2_tag18_G7,5464,905,905,82,36,30,905,36,0,82
RNMB1_FXBSP2_tag18_G8,5095,1078,1078,42,24,16,1078,24,0,43
RNMB1_FXBSP2_tag18_G9,6506,722,722,56,37,21,722,37,0,56
RNMB1_FXBSP2_tag18_H10,2,2,2,2,1,1,2,1,0,2
RNMB1_FXBSP2_tag18_H2,4200,735,735,51,20,15,735,20,0,51
RNMB1_FXBSP2_tag18_H4,2410,354,354,48,27,23,354,27,0,49
RNMB1_FXBSP2_tag18_H7,8884,1507,1507,103,57,31,1507,57,0,103
RNMB1_FXBSP2_tag18_H8,1705,477,477,39,28,22,477,28,0,39
